Id,SalePrice
1461,132829.56
1462,163531.66
1463,169667.8
1464,192420.22
1465,201426.0
1466,191353.7
1467,173951.07
1468,173289.91
1469,187448.26
1470,130043.56
1471,196949.89
1472,97784.5
1473,94513.32
1474,153963.96
1475,140277.9
1476,386425.1
1477,327952.48
1478,319449.68
1479,322712.14
1480,396088.3
1481,300106.59
1482,218017.72
1483,186095.53
1484,182697.02
1485,178050.87
1486,205380.8
1487,324721.16
1488,254295.26
1489,189640.0
1490,214215.65
1491,202032.3
1492,115438.29
1493,191085.02
1494,306187.93
1495,297896.58
1496,224177.18
1497,189807.9
1498,157847.12
1499,162157.32
1500,157655.22
1501,172767.7
1502,160477.9
1503,348093.65
1504,245620.5
1505,215309.3
1506,189502.22
1507,224646.96
1508,202826.29
1509,172521.52
1510,148296.66
1511,148232.9
1512,157182.05
1513,157186.31
1514,147500.61
1515,167906.74
1516,171422.66
1517,151138.08
1518,143608.0
1519,213046.22
1520,140879.0
1521,142433.95
1522,177253.74
1523,121135.22
1524,127758.82
1525,129029.56
1526,129175.16
1527,104241.9
1528,132324.58
1529,147195.58
1530,178546.24
1531,125195.9
1532,112193.5
1533,150037.58
1534,129199.87
1535,142723.6
1536,125382.0
1537,98366.82
1538,225135.0
1539,257550.39
1540,117025.69
1541,149356.53
1542,142466.52
1543,187266.74
1544,92095.08
1545,99258.5
1546,132180.57
1547,125616.4
1548,136131.0
1549,107492.68
1550,137515.5
1551,120712.5
1552,137095.16
1553,148248.77
1554,123149.5
1555,164609.51
1556,95194.59
1557,118606.34
1558,102756.92
1559,109404.21
1560,144692.37
1561,132299.5
1562,131196.53
1563,128182.42
1564,159915.16
1565,147028.33
1566,218286.8
1567,92457.0
1568,220181.24
1569,151123.0
1570,150447.64
1571,126584.4
1572,145223.5
1573,210625.18
1574,143087.32
1575,204726.94
1576,244317.91
1577,190348.22
1578,164199.02
1579,140442.82
1580,192126.17
1581,142567.0
1582,130676.58
1583,313457.92
1584,230491.5
1585,143168.32
1586,79551.0
1587,98164.45
1588,153216.5
1589,114064.58
1590,137460.08
1591,118235.24
1592,130567.68
1593,132881.98
1594,124478.53
1595,127648.76
1596,197742.27
